source	target
AATF	BAX
AATF	CDKN1A
AATF	KLK3
AATF	MYC
AATF	TP53
ABL1	BAX
ABL1	BCL2
ABL1	BCL6
ABL1	CCND2
ABL1	CDKN1A
ABL1	CSF1
ABL1	FOXO3
ABL1	JUN
ABL1	PIM1
ABL1	TP53
ADNP	ABCC1
ADNP	ABCC6
ADNP	ABHD5
ADNP	ABT1
ADNP	ACBD6
ADNP	ACP7
ADNP	ADAMTS10
ADNP	ADAMTS14
ADNP	ADCY7
ADNP	ADGRG1
ADNP	ADGRV1
ADNP	AHCY
ADNP	AIF1L
ADNP	AKNA
ADNP	AKT2
ADNP	ALDH1A1
ADNP	ALDH1A2
ADNP	ALX4
ADNP	ANGPT1
ADNP	ANGPTL2
ADNP	ANKRD24
ADNP	ANO6
ADNP	ANTXR2
ADNP	AP1M1
ADNP	ARHGEF1
ADNP	ARHGEF10L
ADNP	ARHGEF37
ADNP	ARID3A
ADNP	ARID5B
ADNP	ARL5A
ADNP	ASAP1
ADNP	ASCC2
ADNP	ATF7IP
ADNP	ATG14
ADNP	ATP2B1
ADNP	ATP8B3
ADNP	AXL
ADNP	BBC3
ADNP	BHLHE40
ADNP	CACNA1A
ADNP	CACNA1I
ADNP	CCDC187
ADNP	CCNY
ADNP	CDCP1
ADNP	CDH1
ADNP	CDH23
ADNP	CDHR3
ADNP	CDK5RAP2
ADNP	CEBPB
ADNP	CERS6
ADNP	CFAP157
ADNP	CHST11
ADNP	CHST3
ADNP	CIITA
ADNP	CKM
ADNP	CLIP1
ADNP	CLIP2
ADNP	CMIP
ADNP	CMKLR1
ADNP	CNGB1
ADNP	CNKSR3
ADNP	CNN1
ADNP	COL26A1
ADNP	COL27A1
ADNP	COLGALT2
ADNP	CORO2A
ADNP	CPEB4
ADNP	CPNE2
ADNP	CPPED1
ADNP	CRADD
ADNP	CRB2
ADNP	CRISPLD2
ADNP	CRPPA
ADNP	CRYBG2
ADNP	CSF3R
ADNP	CTBS
ADNP	CTRC
ADNP	CUX1
ADNP	CUX2
ADNP	CYRIB
ADNP	DAPK2
ADNP	DENND1A
ADNP	DEPDC5
ADNP	DISP3
ADNP	DLGAP4
ADNP	DNAJB12
ADNP	DNAJC6
ADNP	DNM1
ADNP	DNM2
ADNP	DOCK6
ADNP	DPP3
ADNP	DYRK1A
ADNP	E2F2
ADNP	EBI3
ADNP	ECE1
ADNP	EEF2K
ADNP	EHF
ADNP	EIF4E
ADNP	EIF4G3
ADNP	ELFN1
ADNP	ELL2
ADNP	ENG
ADNP	EPB41
ADNP	EPB41L1
ADNP	EPHA2
ADNP	EPHB4
ADNP	ERCC1
ADNP	ERCC2
ADNP	ERN2
ADNP	FAF1
ADNP	FAM222A
ADNP	FBN3
ADNP	FBXW11
ADNP	FCHO1
ADNP	FHAD1
ADNP	FIBCD1
ADNP	FLNB
ADNP	FNIP2
ADNP	FXN
ADNP	GABBR2
ADNP	GADD45B
ADNP	GDF15
ADNP	GDPD5
ADNP	GFI1B
ADNP	GMPR
ADNP	GNA15
ADNP	GPR160
ADNP	GRIFIN
ADNP	GRIP2
ADNP	GRM4
ADNP	GSE1
ADNP	GSN
ADNP	GTDC1
ADNP	GTF2IRD1
ADNP	HBS1L
ADNP	HIP1
ADNP	HJV
ADNP	HMGB1P1
ADNP	HMGN4
ADNP	HNF1A
ADNP	HSD17B12
ADNP	HTR1D
ADNP	ID1
ADNP	IFFO2
ADNP	IGF2BP2
ADNP	IL12RB1
ADNP	IL21R
ADNP	INPP5B
ADNP	INPP5D
ADNP	INSR
ADNP	IQSEC1
ADNP	IRF2BP1
ADNP	ITPR1
ADNP	JAK3
ADNP	KAZN
ADNP	KCNK1
ADNP	KCNK3
ADNP	KCNN3
ADNP	KIAA0232
ADNP	KIF13A
ADNP	KSR1
ADNP	LAMC3
ADNP	LAPTM5
ADNP	LASP1
ADNP	LDLRAP1
ADNP	LGR4
ADNP	LHPP
ADNP	LINC01556
ADNP	LINGO1
ADNP	LIPC
ADNP	LITAF
ADNP	LMO2
ADNP	LUC7L2
ADNP	MAGI1
ADNP	MAP3K7
ADNP	MAPRE2
ADNP	MARK4
ADNP	MAST3
ADNP	MATK
ADNP	MB
ADNP	MBNL1
ADNP	MDM4
ADNP	MDS2
ADNP	MED18
ADNP	MICAL2
ADNP	MIER1
ADNP	MLXIPL
ADNP	MN1
ADNP	MRC2
ADNP	MRPS22
ADNP	MTSS1
ADNP	MYB
ADNP	MYL10
ADNP	NCAM2
ADNP	NCLN
ADNP	NCOR2
ADNP	NDST1
ADNP	NEBL
ADNP	NEK6
ADNP	NFAT5
ADNP	NFATC2
ADNP	NFIA
ADNP	NFIC
ADNP	NIBAN2
ADNP	NIBAN3
ADNP	NOSTRIN
ADNP	NPRL3
ADNP	NUP210
ADNP	OAS3
ADNP	PACSIN1
ADNP	PADI4
ADNP	PCBP1
ADNP	PCYT1A
ADNP	PDE4A
ADNP	PDGFB
ADNP	PECAM1
ADNP	PHF20
ADNP	PKHD1L1
ADNP	PKN1
ADNP	PLCG2
ADNP	PLD1
ADNP	PLIN3
ADNP	PLPP7
ADNP	PLXNA2
ADNP	PLXND1
ADNP	POM121L2
ADNP	PPIL3
ADNP	PPP1R16B
ADNP	PRCP
ADNP	PREX1
ADNP	PRF1
ADNP	PRKAR2B
ADNP	PRKCB
ADNP	PRPF31
ADNP	PRR5
ADNP	PRSS16
ADNP	PRX
ADNP	PTP4A2
ADNP	PTP4A3
ADNP	PTPRJ
ADNP	PTPRS
ADNP	R3HDM2
ADNP	R3HDM4
ADNP	RALGPS1
ADNP	RANBP9
ADNP	RAP1GAP
ADNP	RAPGEF5
ADNP	RASAL1
ADNP	RBM19
ADNP	RELB
ADNP	RFX1
ADNP	RHO
ADNP	RHOBTB1
ADNP	RHOH
ADNP	RICTOR
ADNP	RNF216
ADNP	RP1
ADNP	RPGR
ADNP	RPH3A
ADNP	RRAGC
ADNP	RTN4
ADNP	RUNX1
ADNP	SAMSN1
ADNP	SCARB1
ADNP	SCN1B
ADNP	SDC3
ADNP	SDS
ADNP	SDSL
ADNP	SEC14L1
ADNP	SELPLG
ADNP	SEMA6B
ADNP	SEPTIN9
ADNP	SERINC5
ADNP	SERPINH1
ADNP	SGSM1
ADNP	SH2B1
ADNP	SIPA1L3
ADNP	SLC13A3
ADNP	SLC1A7
ADNP	SLC22A23
ADNP	SLC25A25
ADNP	SLC29A3
ADNP	SLC44A2
ADNP	SLC4A1
ADNP	SLC6A6
ADNP	SLC7A11
ADNP	SLC8B1
ADNP	SLCO2B1
ADNP	SMARCC1
ADNP	SMURF1
ADNP	SMYD3
ADNP	SNUPN
ADNP	SNX9
ADNP	SOX5
