source	target
ADNP	SPC24
ADNP	SPINT2
ADNP	SPOCD1
ADNP	SPPL3
ADNP	SRC
ADNP	STK10
ADNP	STX18
ADNP	SULT2B1
ADNP	SUMO1P1
ADNP	SYCN
ADNP	SYN3
ADNP	SYNJ2
ADNP	SYT3
ADNP	TAF1B
ADNP	TAOK3
ADNP	TBXAS1
ADNP	TCF3
ADNP	TENT5B
ADNP	TESC
ADNP	TGM2
ADNP	TJP3
ADNP	TLE2
ADNP	TLK1
ADNP	TMC8
ADNP	TMEM119
ADNP	TMEM132B
ADNP	TMEM212
ADNP	TMEM40
ADNP	TNFRSF1B
ADNP	TPD52L1
ADNP	TRANK1
ADNP	TRIB1
ADNP	TRIM41
ADNP	TRPV4
ADNP	TSHZ2
ADNP	TSPAN18
ADNP	TTC39A
ADNP	TUT4
ADNP	TXNRD1
ADNP	UBE2F
ADNP	UBR3
ADNP	UNC13A
ADNP	UTRN
ADNP	VCL
ADNP	VWCE
ADNP	WNT4
ADNP	WSCD2
ADNP	XPR1
ADNP	XXYLT1
ADNP	ZDHHC14
ADNP	ZFP36L2
ADNP	ZMIZ1
ADNP	ZMYM4
ADNP	ZMYND8
ADNP	ZNF217
ADNP	ZNF618
AHR	ABCG2
AHR	ABLIM1
AHR	ACOXL
AHR	ADAMTS17
AHR	ADAMTS9
AHR	ADAMTSL1
AHR	ADARB2
AHR	ADCY5
AHR	ADGRV1
AHR	AFF3
AHR	AGAP1
AHR	AHRR
AHR	AKAP13
AHR	AKAP6
AHR	ALCAM
AHR	ALDH1A2
AHR	ALK
AHR	AMBRA1
AHR	ANGPT1
AHR	ANK3
AHR	ANKFN1
AHR	ANKRD28
AHR	ANKS1B
AHR	ANO2
AHR	ARHGAP15
AHR	ARHGAP24
AHR	ARHGAP26
AHR	ARHGEF28
AHR	ARID5B
AHR	ARNT
AHR	ASAP1
AHR	ATP2B2
AHR	ATP8A2
AHR	ATP8B4
AHR	ATRNL1
AHR	ATXN7
AHR	ATXN7L1
AHR	AUTS2
AHR	BBS9
AHR	BBX
AHR	BCAR3
AHR	BCAS1
AHR	BCAS3
AHR	BMP7
AHR	BMPR1B
AHR	BRCA1
AHR	BRINP1
AHR	BRIP1
AHR	CA10
AHR	CA9
AHR	CACNA1A
AHR	CACNA1D
AHR	CACNA1E
AHR	CACNA2D1
AHR	CACNA2D3
AHR	CACNB2
AHR	CADPS
AHR	CALN1
AHR	CAMKMT
AHR	CBLB
AHR	CCND1
AHR	CCNG2
AHR	CDH12
AHR	CDH13
AHR	CDH18
AHR	CDH4
AHR	CDHR3
AHR	CDK14
AHR	CDK5RAP2
AHR	CDYL
AHR	CEP112
AHR	CEP128
AHR	CHCHD6
AHR	CHD6
AHR	CHN2
AHR	CLIC5
AHR	CLMN
AHR	CNBD1
AHR	CNTN3
AHR	CNTN4
AHR	CNTNAP2
AHR	COL14A1
AHR	COL21A1
AHR	COL22A1
AHR	CPNE4
AHR	CPQ
AHR	CREB5
AHR	CSMD1
AHR	CSMD2
AHR	CSMD3
AHR	CTNNA1
AHR	CTNNA2
AHR	CTNNA3
AHR	CTNNBL1
AHR	CTNND2
AHR	CUX1
AHR	CYP1A1
AHR	CYP1A2
AHR	CYP1B1
AHR	CYP24A1
AHR	CYP2B6
AHR	DAPK1
AHR	DCLK1
AHR	DENND1A
AHR	DGKB
AHR	DGKG
AHR	DGKI
AHR	DIO2
AHR	DIP2C
AHR	DLG1
AHR	DLG2
AHR	DMD
AHR	DMXL2
AHR	DNAH11
AHR	DNAH5
AHR	DNAH9
AHR	DOCK1
AHR	DOCK2
AHR	DOCK4
AHR	DOK5
AHR	DPF3
AHR	DPP10
AHR	DPP6
AHR	DSCAM
AHR	DST
AHR	DTNA
AHR	DTNB
AHR	DYNC1I1
AHR	DYSF
AHR	EBF1
AHR	EFNA5
AHR	EGLN3
AHR	EPB41L2
AHR	EPHA6
AHR	EPHB1
AHR	ERBB4
AHR	ERC2
AHR	ERG
AHR	ESR1
AHR	ESRRB
AHR	ESRRG
AHR	EXOC4
AHR	EXOC6B
AHR	EXT1
AHR	EYA2
AHR	FAM135B
AHR	FBXW11
AHR	FCHSD2
AHR	FGF12
AHR	FGF13
AHR	FGGY
AHR	FHIT
AHR	FIGN
AHR	FOS
AHR	FOXN3
AHR	FOXP1
AHR	FOXP2
AHR	FRMD3
AHR	FRMD4A
AHR	FRY
AHR	FSTL4
AHR	FUT8
AHR	FYN
AHR	GABBR2
AHR	GALNT10
AHR	GALNT13
AHR	GALNTL6
AHR	GAS7
AHR	GLI3
AHR	GMDS
AHR	GPATCH2
AHR	GRB10
AHR	GRIA3
AHR	GRIK2
AHR	GRIK3
AHR	GRIN2A
AHR	GRIP1
AHR	GRM7
AHR	GSE1
AHR	GTDC1
AHR	HDAC9
AHR	HECW2
AHR	HIVEP3
AHR	HMCN1
AHR	HMGCLL1
AHR	HPSE2
AHR	IGF1R
AHR	IL13
AHR	IL16
AHR	IL1B
AHR	IL1R1
AHR	IL6
AHR	IMMP2L
AHR	INPP4B
AHR	INSC
AHR	IQCJ
AHR	IQSEC1
AHR	ITGB6
AHR	ITPR1
AHR	JAZF1
AHR	KALRN
AHR	KAZN
AHR	KCNB1
AHR	KCNK2
AHR	KCNMA1
AHR	KCNMB2
AHR	KCNQ3
AHR	KDM4C
AHR	KIAA1217
AHR	KSR2
AHR	LARGE1
AHR	LDB2
AHR	LHFPL2
AHR	LMCD1
AHR	LPP
AHR	LRP1B
AHR	LRP2
AHR	LSAMP
AHR	LTBP1
AHR	MACROD2
AHR	MAD1L1
AHR	MAGI1
AHR	MAGI2
AHR	MALRD1
AHR	MAP2
AHR	MAP4K4
AHR	MAPK10
AHR	MAST4
AHR	MBD5
AHR	MBNL3
AHR	MCC
AHR	MCTP2
AHR	MDGA2
AHR	MECOM
AHR	MEF2C
AHR	MFSD2A
AHR	MGAT4C
AHR	MID1
AHR	MME
AHR	MSI2
AHR	MT2A
AHR	MTSS1
AHR	MTUS2
AHR	MVB12B
AHR	MYC
AHR	MYLK
AHR	MYO16
AHR	MYO1B
AHR	MYO5A
AHR	MYT1L
AHR	NAALADL2
AHR	NACA2
AHR	NAV2
AHR	NAV3
AHR	NBAS
AHR	NCALD
AHR	NCAM2
AHR	NCOA3
AHR	NCOR2
AHR	NEDD4L
AHR	NEDD9
AHR	NELL2
AHR	NEO1
AHR	NFASC
AHR	NFATC2
AHR	NFIB
AHR	NKAIN2
AHR	NLGN1
AHR	NPAS3
AHR	NRCAM
AHR	NRG3
AHR	NRP2
AHR	NRXN1
AHR	NRXN3
AHR	NTNG1
AHR	NTRK3
AHR	NUBPL
AHR	NXPH1
AHR	OFCC1
AHR	OSBPL10
AHR	OXR1
AHR	P3H2
AHR	PAM
AHR	PAPPA2
AHR	PARD3B
AHR	PBX1
AHR	PCLO
AHR	PCNA
AHR	PCNX2
AHR	PCSK5
AHR	PDE1A
AHR	PDE1C
AHR	PDE4D
AHR	PDE8A
AHR	PDE8B
AHR	PFDN4
AHR	PHACTR1
AHR	PHACTR2
AHR	PHACTR3
AHR	PHLDB2
AHR	PIP4K2A
AHR	PLCB1
AHR	PLCB4
AHR	PLCL1
AHR	PLD1
AHR	PLXNA4
AHR	PMEPA1
AHR	PPFIA2
AHR	PREX1
AHR	PRICKLE2
AHR	PRKAG2
AHR	PRKCB
AHR	PRKCE
AHR	PRKCH
AHR	PRKD1
AHR	PRKG1
AHR	PRLR
AHR	PRPF31
AHR	PRUNE2
AHR	PTK2
AHR	PTPRG
AHR	PTPRT
AHR	RABGAP1L
AHR	RAD51B
AHR	RALGAPA2
AHR	RANBP17
AHR	RAPGEF4
AHR	RBFOX1
AHR	RBFOX3
AHR	RBM47
AHR	RBMS1
AHR	RBMS3
AHR	RBPJ
AHR	RELN
AHR	RFC3
AHR	RGS22
AHR	RGS6
AHR	RGS9
AHR	RIMS2
AHR	RIN3
AHR	ROBO1
AHR	ROBO2
AHR	ROR2
AHR	RPH3A
AHR	RPTOR
AHR	RTN1
AHR	RUNX1
AHR	RYR3
AHR	SAMD12
AHR	SAMD4A
AHR	SATB1
AHR	SCAPER
AHR	SCN8A
AHR	SDK1
AHR	SEM1
AHR	SEMA4D
AHR	SH3GL3
AHR	SH3PXD2B
AHR	SHANK2
AHR	SHISA9
AHR	SIPA1L1
AHR	SIPA1L2
AHR	SLC22A23
AHR	SLC26A7
AHR	SLC38A1
AHR	SLC8A1
AHR	SLCO3A1
AHR	SLIT3
AHR	SMOC1
AHR	SMYD3
AHR	SND1
AHR	SORCS1
AHR	SOS1
AHR	SOX2
AHR	SOX5
AHR	SOX9
AHR	SPAG16
AHR	SPAG17
AHR	SPATA17
AHR	SPATS2L
AHR	SPIDR
AHR	SPOCK1
AHR	SPTBN1
AHR	SRGAP3
AHR	SSBP2
AHR	ST18
AHR	STARD13
AHR	STK3
AHR	STK39
AHR	STMND1
AHR	STXBP6
AHR	SULF2
AHR	SUMO1P1
AHR	SV2B
AHR	SVIL
AHR	SYBU
AHR	SYNE1
AHR	SYNE2
AHR	SYNPR
AHR	SYT1
AHR	SYT6
AHR	TACC2
AHR	TANC2
AHR	TAOK3
AHR	TBC1D5
AHR	TBX4
AHR	TENM2
AHR	TENM4
AHR	TG
AHR	THADA
AHR	THSD4
AHR	THSD7B
AHR	TIAM1
AHR	TLK1
AHR	TLN2
AHR	TMEM108
AHR	TMEM132B
AHR	TMEM163
AHR	TMTC2
AHR	TNIK
AHR	TNR
AHR	TNS3
AHR	TPRG1
AHR	TRAPPC9
AHR	TRIM37
AHR	TRIO
AHR	TRPM3
AHR	TRPS1
AHR	TSHZ2
AHR	TTLL5
AHR	UGT1A1
AHR	UGT1A6
AHR	UNC13C
AHR	USH2A
AHR	USP32
AHR	UTRN
AHR	UVRAG
AHR	VAV3
AHR	VGLL4
AHR	VPS13B
AHR	VPS8
AHR	WDR72
AHR	WSCD1
AHR	XXYLT1
AHR	XYLT1
AHR	ZBTB20
AHR	ZFAT
AHR	ZFPM2
AHR	ZMIZ1
AHR	ZMYND8
AHR	ZNF217
AHR	ZNF365
AHR	ZNF385B
AHR	ZNF385D
AHR	ZNF462
AHR	ZPLD1
AIP	AHR
AIP	GREB1
AIP	NFKB2
AIP	RSF1
AIP	TFF1
AIRE	CHRNA1
ANKRD1	NPPA
APBB1	GMPS
APC	AKT1
APC	AMHR2
APC	BIRC5
APC	DLG1
APC	DNMT1
APC	F8
APC	KLF4
APC	MYC
APC	NOS2
APC	ODC1
APC	PTGS2
APC	SGK1
APEX1	CCL2
APEX1	CD19
APEX1	CYP11B2
APEX1	NFKB1
APEX1	PTH
APEX1	RELA
APEX1	SLC5A5
AR	ABCA13
AR	ABCB1
AR	ABCC4
AR	ABCE1
AR	ABHD2
AR	ABLIM1
AR	ACAA1
AR	ACAD10
AR	ACER3
AR	ACOX1
AR	ACOX2
AR	ACOXL
AR	ACP3
AR	ACSL1
AR	ACTA1
AR	ACTR10
AR	ADAM28
AR	ADAM32
AR	ADAMTS3
AR	ADAMTS4
AR	ADAMTSL1
AR	ADCY2
AR	ADCYAP1
AR	ADGRG6
AR	ADGRL2
AR	ADGRV1
AR	ADIPOQ
AR	ADIPOR1
AR	ADIPOR2
AR	AFDN
AR	AFF1
AR	AFF3
AR	AGAP1
AR	AHSG
AR	AKAP13
AR	AKAP6
AR	AKAP7
AR	AKR1B1
AR	AKR1C3
AR	AKT1
AR	ALB
AR	ALCAM
AR	ALDH1A2
AR	ALDH1A3
AR	ALK
AR	ALPG
AR	ALPP
AR	AMH
AR	AMOTL1
AR	ANAPC10
AR	ANGPT1
AR	ANGPTL4
AR	ANK3
AR	ANKFN1
AR	ANKH
AR	ANKRD28
AR	ANKRD30BL
AR	ANKRD44
AR	ANKS1B
AR	AP2M1
AR	APOA1
AR	APOB
AR	APOBR
AR	APOC3
AR	APOE
AR	APP
AR	APPBP2
AR	AQP2
AR	AQP4
AR	ARAP2
AR	AREG
AR	ARFGEF3
AR	ARG1
AR	ARG2
AR	ARHGAP10
AR	ARHGAP24
AR	ARHGAP26
AR	ARHGAP32
AR	ARHGAP39
AR	ARHGAP42
AR	ARHGAP6
AR	ARHGEF2
AR	ARHGEF3
AR	ARID1B
AR	ARID5B
AR	ARMC12
AR	ARSG
AR	ASAP1
AR	ASB2
AR	ASTN2
AR	ATAD2
AR	ATF6
AR	ATM
AR	ATP2A2
AR	ATP2B4
AR	ATP8B4
AR	ATRNL1
AR	ATXN7L1
AR	AUTS2
AR	AVP
AR	AZGP1
AR	B4GALT1
AR	BABAM2
AR	BAIAP2
AR	BANF1
AR	BATF
AR	BBX
AR	BCAR3
AR	BCAS3
AR	BCL2
AR	BHLHE40
AR	BICC1
AR	BMF
AR	BMPR1B
AR	BNC2
AR	BORCS6
AR	BSG
AR	BTD
AR	BTG1
AR	BTG2
AR	CABP7
AR	CACHD1
AR	CACNA1I
AR	CACNA2D1
AR	CACNA2D3
AR	CADM1
AR	CALD1
AR	CAMKK2
AR	CAPN2
AR	CARMIL1
AR	CASP2
AR	CASP3
AR	CAST
AR	CASZ1
AR	CBFA2T2
AR	CBLB
AR	CCDC192
AR	CCDC57
AR	CCDC85C
AR	CCDC88C
AR	CCDC91
AR	CCN3
AR	CCND1
AR	CCND2
AR	CCNG1
AR	CCNG2
AR	CCSER1
AR	CD36
AR	CD38
AR	CD4
AR	CD40
AR	CD83
AR	CDC6
AR	CDH1
AR	CDH11
AR	CDH13
AR	CDH18
AR	CDH2
AR	CDH4
AR	CDK14
AR	CDK20
AR	CDK5RAP2
AR	CDK6
AR	CDK7
AR	CDKL5
AR	CDKN1A
AR	CEMIP2
AR	CEP112
AR	CEP128
AR	CETP
AR	CHAT
AR	CHN2
AR	CHRM1
AR	CHRM3
AR	CITED2
AR	CLASP1
AR	CLK3
AR	CNBD1
AR	CNTN3
AR	CNTN4
AR	CNTN5
AR	CNTNAP2
AR	COASY
AR	COBL
AR	COBLL1
AR	COL14A1
AR	CPNE4
AR	CPQ
AR	CPSF1
AR	CPT1A
AR	CPT1B
AR	CPT2
AR	CRABP2
AR	CRADD
AR	CREB5
AR	CRH
AR	CRIM1
AR	CRISP1
AR	CRISP3
AR	CRYBG1
AR	CSGALNACT1
AR	CSMD2
AR	CTNNA1
AR	CTNNB1
AR	CTNNBL1
AR	CTNND2
AR	CUX1
AR	CUX2
AR	CXCL8
AR	CYCS
AR	CYP19A1
AR	CYP1A1
AR	CYP26A1
AR	CYP27A1
AR	CYP3A5
AR	CYP4A11
AR	CYP7A1
AR	CYP7B1
AR	DAAM1
AR	DAB1
AR	DBI
AR	DCAF6
AR	DCLK1
AR	DDC
AR	DDT
AR	DENND1A
AR	DENND1B
AR	DEPDC1
AR	DEPTOR
AR	DGKB
AR	DHCR24
AR	DHRS4
AR	DHX15
AR	DIO2
AR	DIP2C
AR	DIS3L2
AR	DLEU1
AR	DLG1
AR	DLG2
AR	DNAH11
AR	DNAH5
AR	DNM1
AR	DOCK10
AR	DOCK4
AR	DOCK5
AR	DPP9
AR	DRD1
AR	DSG1
AR	DST
AR	DTNA
AR	ECE1
AR	ECM1
AR	EDN1
AR	EEF1AKMT3
AR	EEFSEC
AR	EFNA5
AR	EGFR
AR	EGLN3
AR	EHF
AR	EHMT1
AR	EIF2B5
AR	EIF3H
AR	EIF3I
AR	ELAPOR2
AR	ELF3
AR	ELF4
AR	ELK1
AR	ELK4
AR	ELMO1
AR	ELP5
AR	EP300
AR	EPHA6
AR	EPN2
AR	EPSTI1
AR	ERBB2
AR	ERBB3
AR	ERBB4
AR	ERC1
AR	ERC2
AR	ERG
AR	ERN1
AR	ESR1
AR	ESR2
AR	ESRRA
AR	ESRRG
AR	ETS1
AR	ETV1
AR	ETV6
AR	EVL
AR	EXOC4
AR	EXOC6
AR	EXT1
AR	EYA2
AR	F2RL3
AR	F5
AR	F9
AR	FABP1
AR	FABP3
AR	FADS2
AR	FAM107B
AR	FAM13A
AR	FAM13C
AR	FAM174B
AR	FAM83H
AR	FARP1
AR	FASN
AR	FAT1
AR	FBN1
AR	FBN2
AR	FBP2
AR	FBXO46
AR	FCER1A
AR	FGB
AR	FGF13
AR	FGF2
AR	FGF8
AR	FGFBP1
AR	FGFR1
AR	FGGY
AR	FHL2
AR	FHOD3
AR	FKBP4
AR	FKBP5
AR	FLNB
AR	FLT1
AR	FN1
AR	FNDC3B
AR	FNIP1
AR	FNIP2
AR	FOLH1
AR	FOS
AR	FOXA1
AR	FOXN3
AR	FOXO3
AR	FOXP1
AR	FRMD4B
AR	FRY
AR	FRYL
AR	FSIP1
AR	FTO
AR	FXYD3
AR	FYN
AR	GADD45A
AR	GADD45B
AR	GADD45G
AR	GATA3
AR	GCK
AR	GHR
AR	GLI3
AR	GLIS3
AR	GLRX
AR	GMDS
AR	GNGT2
AR	GNL1
AR	GNMT
AR	GOT1
AR	GRAMD2A
AR	GRAMD2B
AR	GRB10
AR	GREB1
AR	GRHL2
AR	GRIK2
AR	GRIK4
AR	GRIP1
AR	GRM7
AR	GSE1
AR	GSTP1
AR	GSTT2
AR	GTDC1
AR	GTF2F1
AR	H2BC21
AR	H3-3B
AR	HDAC4
AR	HDAC9
AR	HERC3
AR	HES1
AR	HIGD1A
AR	HIPK2
AR	HIPK3
AR	HIVEP3
AR	HJV
AR	HK1
AR	HK2
AR	HLA-E
AR	HMGCS1
AR	HMGCS2
AR	HMGN4
AR	HMMR
AR	HMOX1
AR	HNF1A
AR	HNF1B
AR	HNRNPA1
AR	HOXA1
AR	HOXA4
AR	HOXA7
AR	HOXB4
AR	HOXC8
AR	HOXD4
AR	HS6ST2
AR	HSD11B1
AR	HSD17B1
AR	HSD17B11
AR	HSP90AA1
AR	HYDIN
AR	IBSP
AR	ICAM1
AR	IFI16
AR	IFI35
AR	IFNAR1
AR	IGF1
AR	IGF1R
AR	IGFBP3
AR	IGFBP5
AR	IGHG1
AR	IL1R1
AR	IL2
AR	IL6
AR	IL6ST
AR	ILF2
AR	IMMP2L
AR	INPP4B
AR	INPP5A
AR	INS
AR	IQGAP1
AR	IQGAP2
AR	IRAK2
AR	ITPR1
AR	ITPR2
AR	ITSN1
AR	IZUMO3
AR	JAZF1
AR	JRKL
AR	JUN
AR	KALRN
AR	KAT5
AR	KAT6B
AR	KAT7
AR	KAZN
AR	KCNH2
AR	KCNH4
AR	KCNH8
AR	KCNK1
AR	KCNMA1
AR	KCNMB2
AR	KCNN2
AR	KCNN3
AR	KCNQ3
AR	KDM4B
AR	KDM4C
AR	KHDRBS3
AR	KHSRP
AR	KIAA1217
AR	KISS1
AR	KISS1R
AR	KLF5
AR	KLF9
AR	KLK1
AR	KLK14
AR	KLK15
AR	KLK2
AR	KLK3
AR	KLK4
AR	KLKB1
AR	KNL1
AR	KRT18
AR	KRT19
AR	KRT78
AR	KRT8
AR	LAMA3
AR	LAMC1
AR	LARGE1
AR	LARS2
AR	LCP1
AR	LDLRAD4
AR	LHB
AR	LHFPL3
AR	LIFR
AR	LIMCH1
AR	LIPA
AR	LIPE
AR	LMBR1
AR	LMO7
AR	LNX1
AR	LPAR3
AR	LPL
AR	LPP
AR	LRCH1
AR	LRIG1
AR	LRP1B
AR	LSAMP
AR	LTA4H
AR	LTBP1
AR	LTBP4
AR	LUZP2
AR	MACF1
AR	MACROD2
AR	MAD1L1
AR	MAGI1
AR	MAGI2
AR	MAML3
AR	MAOA
AR	MAP1B
AR	MAP2
AR	MAP2K3
AR	MAP4K2
AR	MAP4K4
AR	MAPK10
AR	MAPKAP1
AR	MARCHF11
AR	MARCHF3
AR	MAST4
AR	MATN1
AR	MBNL1
AR	MBOAT2
AR	MCC
AR	MCF2L2
AR	MCTP1
AR	MECOM
AR	MED1
AR	MED13L
AR	METTL26
AR	MEX3B
AR	MFSD6
AR	MICAL2
AR	MID1
AR	MIDEAS
AR	MIF
AR	MIPEP
AR	MIPOL1
AR	MKLN1
AR	MKRN3
AR	MME
AR	MMP13
AR	MMP2
AR	MMP9
AR	MPZL1
AR	MRPS27
AR	MRTFB
AR	MSI2
AR	MT1X
AR	MT2A
AR	MTHFD1L
AR	MTSS1
AR	MTUS2
AR	MUC1
AR	MUC4
AR	MUC5AC
AR	MYB
AR	MYC
AR	MYCBP2
AR	MYCN
AR	MYH6
AR	MYLK
AR	MYO16
AR	MYO1B
AR	MYO1D
AR	MYO1E
AR	MYOF
AR	NAALADL2
AR	NAT1
AR	NAV1
AR	NAV2
AR	NAV3
AR	NBAS
AR	NCALD
AR	NCAM2
AR	NCBP3
AR	NCOA1
AR	NCOA2
AR	NCOA3
AR	NCOA4
AR	NCOA6
AR	NCOR1
AR	NCOR2
AR	NDRG1
AR	NDUFAF6
AR	NEDD4L
AR	NEDD9
AR	NEK10
AR	NFATC2
AR	NFIA
AR	NFIB
AR	NFKB1
AR	NFKBIA
AR	NIBAN1
AR	NKX2-1
AR	NKX3-1
AR	NLGN1
AR	NLGN4X
AR	NLRC3
AR	NME7
AR	NOL3
AR	NOX1
AR	NPAS3
AR	NPAT
AR	NPEPPS
AR	NR1D1
AR	NR1H3
AR	NRAS
