reference	method	ref_nodes_in_universe	method_nodes_in_universe	overlap_nodes	overlap_frac_ref	overlap_frac_method
hpn_dream	attention_inferred	32	4598	1	0.03125	0.00021748586341887777
hpn_dream	probe_attention	32	4529	1	0.03125	0.00022079929344226098
hpn_dream	probe_grad_input	32	4529	1	0.03125	0.00022079929344226098
hpn_dream	probe_integrated_gradients	32	4529	1	0.03125	0.00022079929344226098
hpn_dream	probe_perturbation	32	4529	1	0.03125	0.00022079929344226098
hpn_dream	probe_consensus	32	4529	1	0.03125	0.00022079929344226098
beeline_gsd	attention_inferred	15	4598	1	0.06666666666666667	0.00021748586341887777
beeline_gsd	probe_attention	15	4529	2	0.13333333333333333	0.00044159858688452196
beeline_gsd	probe_grad_input	15	4529	2	0.13333333333333333	0.00044159858688452196
beeline_gsd	probe_integrated_gradients	15	4529	2	0.13333333333333333	0.00044159858688452196
beeline_gsd	probe_perturbation	15	4529	2	0.13333333333333333	0.00044159858688452196
beeline_gsd	probe_consensus	15	4529	2	0.13333333333333333	0.00044159858688452196
